"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 15 08:37:07 GMT 2022","Wed Jun 15 08:37:11 GMT 2022","3877","test","test_conduit","TestConduit","","","test_new_data_input",""
"passed","Wed Jun 15 08:36:45 GMT 2022","Wed Jun 15 08:36:48 GMT 2022","2322","test","test_conduit","TestConduit","","","test_empty_registration",""
"passed","Wed Jun 15 08:42:06 GMT 2022","Wed Jun 15 08:42:10 GMT 2022","4366","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 15 08:36:50 GMT 2022","Wed Jun 15 08:36:52 GMT 2022","2364","test","test_conduit","TestConduit","","","test_user_reg_valid",""
"passed","Wed Jun 15 08:37:02 GMT 2022","Wed Jun 15 08:37:05 GMT 2022","3051","test","test_conduit","TestConduit","","","test_data_save",""
"passed","Wed Jun 15 08:37:12 GMT 2022","Wed Jun 15 08:37:19 GMT 2022","6384","test","test_conduit","TestConduit","","","test_data_update",""
"passed","Wed Jun 15 08:36:40 GMT 2022","Wed Jun 15 08:36:42 GMT 2022","2252","test","test_conduit","TestConduit","","","test_make_data_list",""
"passed","Wed Jun 15 08:36:27 GMT 2022","Wed Jun 15 08:36:37 GMT 2022","10098","test","test_conduit","TestConduit","","","test_cookie_accept",""
"passed","Wed Jun 15 08:40:56 GMT 2022","Wed Jun 15 08:42:03 GMT 2022","67418","test","test_conduit","TestConduit","","","test_data_input_from_file",""
"passed","Wed Jun 15 08:37:21 GMT 2022","Wed Jun 15 08:40:54 GMT 2022","213005","test","test_conduit","TestConduit","","","test_data_fill_and_delete",""
"passed","Wed Jun 15 08:36:55 GMT 2022","Wed Jun 15 08:36:57 GMT 2022","2314","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 15 08:36:59 GMT 2022","Wed Jun 15 08:37:00 GMT 2022","1022","test","test_conduit","TestConduit","","","test_page_list_going_over",""
